name,team,battingStyle,bowlingStyle,playingRole,image,description
Cameron Green,RCB,Right hand Bat,Right arm Fast medium,Batting Allrounder,https://static.india.com/wp-content/uploads/2023/12/Cameron-Green-RCB.jpg,"Cameron Green was earmarked as an international cricket from very early. Contracted to Western Australia as a schoolboy, he took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. "
Sam Curran(c),PBKS,Left hand Bat,Left arm Medium fast,Allrounder,https://www.punjabkingsipl.in/static-assets/images/players/65584.png?v=6.24,
Sai Kishore,GT,Left hand Bat,Slow Left arm Orthodox,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/544.png,
Harshal Patel,PBKS,Right hand Bat,Right arm Medium,Bowler,https://www.punjabkingsipl.in/static-assets/images/players/5407.png?v=6.18,
Prabhsimran Singh,PBKS,Right hand Bat,,Wicketkeeper Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/1005.png,
M Shahrukh Khan,GT,Right hand Bat,Right arm Offbreak,Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/590.png ,
Jitesh Sharma,PBKS,Right hand Bat,,Wicketkeeper Batter,https://www.punjabkingsipl.in/static-assets/images/players/64724.png?v=6.18,
Shashank Singh,PBKS,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/191.png,"Shashank Singh, a right-hand batter and right-arm offspinner, shot into the limelight after hitting an unbeaten 29-ball 61 for Punjab Kings against Gujarat Titans in IPL 2024."
Wriddhiman Saha,GT,Right hand Bat,,Wicketkeeper Batter,https://www.gujarattitansipl.com/static-assets/images/players/4508.png?v=5.39,
Shubman Gill(c),GT,Right hand Bat,Right arm Offbreak,Opening Batter,https://documents.iplt20.com/ipl/IPLHeadshot2024/62.png,
Rashid Khan,GT,Right hand Bat,Legbreak Googly,Bowling Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/218.png,
Sai Sudharsan,GT,Left hand Bat,Legbreak,Top order Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/976.png,"A tall left-hand batter, Sai Sudharsan is a post-Covid era emerging star from Tamil Nadu. He was a breakout talent from the Tamil Nadu Premier League [TNPL] who was fast-tracked into Tamil Nadu's sides across formats and is also remembered for his 47-ball 96 in the IPL 2023 final against CSK."
Ashutosh Sharma,PBKS,Right hand Bat,,Batting Allrounder,https://www.punjabkingsipl.in/static-assets/images/players/68176.png?v=6.18,
Azmatullah Omarzai,GT,Right hand Bat,Right arm Medium fast,Allrounder,https://www.gujarattitansipl.com/static-assets/images/players/67516.png?v=5.39,
Kagiso Rabada,PBKS,Left hand Bat,Right arm Fast,Bowler,https://www.punjabkingsipl.in/static-assets/images/players/63611.png?v=6.25,
Rashid Khan,GT,Right hand Bat,Legbreak Googly,Bowling Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/218.png,
David Miller,GT,Left hand Bat,Right arm Offbreak,Middle order Batter,https://www.gujarattitansipl.com/static-assets/images/players/5313.png?v=5.41,
Rahul Tewatia,GT,Left hand Bat,Legbreak,Bowling Allrounder,https://cdn-wp.thesportsrush.com/2023/04/e77e56cf-i-2023-04-14t102932.348.jpg?format=auto&w=3840&q=75,
Sandeep Warrier,GT,Right hand Bat,Right arm Medium,Bowler,https://www.gujarattitansipl.com/static-assets/images/players/63363.png?v=5.39 ,
Noor Ahmad,GT,Right hand Bat,Left arm Wrist spin,Bowler,https://www.gujarattitansipl.com/static-assets/images/players/71411.png?v=5.41,
Harpreet Singh,PBKS,Left hand Bat,Right arm Medium,Batter,https://www.punjabkingsipl.in/static-assets/images/players/5211.png?v=6.18,"A left-handed batting allrounder, Harpreet Singh hails from a small town in interior Madhya Pradesh called Dalli Rajhara. He scored 709 runs in seven matches in the Cooch Behar Trophy in 2008-09, which won him the award for the best Under-19 cricketer of the season. He was named vice-captain for the U-19 tour of Australia in 2009, where he scored a total of 262 runs at 52.40. He made his Ranji Trohy debut for MP later that year and was named in the U-19 squad for the World Cup in New Zealand.  Cricinfo Staff January 2010"
Rilee Rossouw,PBKS,Left hand Bat,Right arm Offbreak,Top order Batter,https://www.punjabkingsipl.in/static-assets/images/players/4357.png?v=6.18,"A stylish top-order player with an elegant and authoritative drive, Rilee Rossouw has been a high-impact batter for South Africa in limited-overs cricket.  "
M Shahrukh Khan,GT,Right hand Bat,Right arm Offbreak,Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/590.png,
Liam Livingstone,PBKS,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,https://www.punjabkingsipl.in/static-assets/images/players/63940.png?v=6.26,"Liam Livingstone broke into the spotlight when he made a T20I hundred off 42 balls against Pakistan in 2021 - the fastest century in the format by an England player. By then he had a reputation in English cricket as a batter equipped with plenty of raw power and the ability to dismantle good bowling attacks, a sharp outfielder, and a useful spinner who could turn the ball either way."
Azmatullah Omarzai,GT,Right hand Bat,Right arm Medium fast,Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/1354.png,
Arshdeep Singh,PBKS,Left hand Bat,Left arm Medium fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/125.png,
Harshal Patel,PBKS,Right hand Bat,Right arm Medium,Bowler,https://www.punjabkingsipl.in/static-assets/images/players/5407.png?v=6.18,
Mohit Sharma,GT,Right hand Bat,Right arm Medium,Bowler,https://www.gujarattitansipl.com/static-assets/images/players/63341.png?v=5.41,"Although Mohit Sharma burst onto the domestic scene during Haryana's best Ranji Trophy season in 2011-12, he made his own headlines a year later. In his debut season Mohit had played just three matches when Haryana made an impressive run to the semi-finals, but during the 2012-13 Ranji season he emerged as one of the best fast bowlers in the country, finishing as the fifth-highest wicket-taker. Despite that, not many had seen or known about the youngster from Faridabad, who had been on the fringes ever since he rose through age-group cricket camps organised by the Haryana Cricket Association. "
Liam Livingstone,PBKS,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,https://d1k8sn41pix00a.cloudfront.net/media/players/photos/3644.png,"Liam Livingstone broke into the spotlight when he made a T20I hundred off 42 balls against Pakistan in 2021 - the fastest century in the format by an England player. By then he had a reputation in English cricket as a batter equipped with plenty of raw power and the ability to dismantle good bowling attacks, a sharp outfielder, and a useful spinner who could turn the ball either way."
Harpreet Brar,PBKS,Left hand Bat,Slow Left arm Orthodox,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/130.png,
Kagiso Rabada,PBKS,Left hand Bat,Right arm Fast,Bowler,https://www.punjabkingsipl.in/static-assets/images/players/63611.png?v=6.25,
Sam Curran,PBKS,Left hand Bat,Left arm Medium fast,Allrounder,https://www.punjabkingsipl.in/static-assets/images/players/65584.png?v=6.24 ,
Sai Kishore,GT,Left hand Bat,Slow Left arm Orthodox,Bowler,https://ipltable.in/wp-content/uploads/2024/02/image-52-700x700.jpeg,
